Palanqueta de amaranto con pasas,13,52,1,ND,11.2,ND,ND,ND,ND,0,ND
Palitos de pan,18,74,2.2,1.7,12.3,0.5,5.4,3.6,0.8,117.9,ND
Palomitas,18,70,3.5,0,14,3.5,0,0,0,140,ND
Palomitas acarameladas,18,76,0.7,2.3,13.9,0.9,0.5,7.5,0.3,36,6.9
Palomitas acarameladas sin grasa,19,69,1.7,0,10,0,0,0,0,131.3,0.6
Palomitas fat free,18,70,3.5,0,14,3.5,0,0,0,140,ND
Palomitas naturales,18,70,3.5,0,14,3.5,0,0,0,140,ND
Palomitas sin grasa,18,70,3.5,0,14,3.5,0,0,0,140,ND
Pambazo,25,67,2.5,1,12.5,1.5,0,10.5,0.3,142.3,1
Pan 5 granos,25,62,2.4,2.1,9.6,1.6,0,0,0,83,ND
Pan 7 granos,26,65,2.6,1,12.1,1.7,12,24,0.9,127,ND
Pan ácimo,20,57,1.3,1,11.1,0.5,2,16.2,0.5,78.9,ND
Pan árabe,20,54,1.8,0.2,11,0.4,0,17,0.5,106.1,0.3
Pan árabe integral,21,56,2.1,0.6,1.6,1.6,7.3,3.3,0.6,112.2,ND
Pan bagel dulce,23,64,2.3,0.4,12.9,0.5,5,4.3,0.9,75.6,ND
Pan bagel integral,23,60,2.5,0.3,12.5,0.8,0,0,0,118.8,ND
Pan bagel salado,23,64,2.5,0.4,12.5,0.5,5.3,17.5,0.8,125.1,ND
Pan baguette,27,72,2.2,1,13.4,0.6,9.7,29.2,0.8,145.8,1
Pan birote,22,67,2.1,0,14.1,0.1,0,9.1,0.3,123.3,ND
Pan blanco,27,71,2.2,0.8,13.6,0.5,27.8,101.3,1.1,149.9,ND
Pan centeno,24,62,2,0.8,11.6,1.4,12,17.3,0.7,158.3,ND
pan con salvado,27,67,2.4,0.9,12.9,1.1,6.8,20.3,0.8,131.3,ND
Pan de 5 granos,25,62,2.4,2.1,9.6,1.6,0,0,0,83,ND
Pan de 7 granos,26,65,2.6,1,12.1,1.7,12,24,0.9,127,ND
Pan de avena,30,71,3.1,1.3,11.9,1.3,6.8,20,0.9,122,ND
Pan de caja,27,71,2.2,0.8,13.6,0.5,0,101.3,1.1,149.9,ND
Pan de caja integral,25,67,2.4,1,12.6,1.1,12,78,1,145.8,ND
Pan de centeno y comino,20,55,1.7,0.5,11,0.3,8,0,0,140,ND
Pan de centeno y trigo,28,73,2.6,0.2,15,0.1,27.8,10.6,0.8,156,ND
Pan de girasol integral,25,57,2.1,1.4,9.7,1.1,29,0,0,90.5,ND
Pan de hambueguesas chico,26,67,2.5,1.1,12.9,0.7,0,26.5,0.7,111.5,1.9
Pan de hot dog,22,55,2,1,10.5,0.5,0,10,0.5,105,1.5
Pan de hot dog con ajonjoli,22,55,2,1,10.5,0.5,0,10,0.5,105,1.5
pan de jengibre,25,72,0.9,2.2,11.9,0,0,18.8,0.5,115.6,6.3
Pan de miel y avena,28,71,3,1.1,12.7,0.9,0,19,1,140,ND
Pan de plátano,21,68,0.9,2.2,11.5,0.2,0,4.4,0.3,63.4,ND
Pan de trigo con arroz,21,59,1.4,1.5,10.2,0,0,14.7,0.4,85.5,ND
Pan integral,25,67,2.4,1,12.6,1.1,29,78,1,145.8,ND
Pan matza,14,56,1.4,0.2,119,0.5,2,2,0.5,0.5,ND
Pan melba,15,60,1.8,0.6,11.4,0.9,3,15,0.6,123,ND
Pan molido,16,66,2.1,1,11.8,0.3,0,6.2,0.2,95.8,ND
Pan negro,26,69,2.1,0.5,15.2,0.3,0,12.7,2.4,144.8,ND
Pan negro con trigo,25,65,2,0.5,14.6,0.3,0,0,0,0,ND
Pan para hambuerguesa chico,26,67,2.5,1.1,12.9,0.7,0,26.5,0.7,111.5,1.9
Pan para hambuerguesa grande,25,65,2.4,1.1,12.5,0.6,0,25.7,0.7,108.2,1.8
Pan para pambazo,25,67,2.5,1,12.5,1.5,0,10.5,0.3,142.3,1
"Pan tipo ""english miffin""",29,67,2.2,0.5,13.1,0.8,10.5,49.5,0.7,132,ND
Pan tipo media noche,22,55,2,1,10.5,0.5,0,10,0.5,105,1.5
Pan tostado,15,64,1.6,1.2,11.8,0.1,0,13.5,0.9,88.1,2.2
Panqué fat-free,25,71,1.4,0.3,15.3,0.3,17.5,10.8,0.5,85.3,8.6
Papa al horno con cáscara,78,73,1.5,0.1,16.8,1.2,7,3.9,0.3,3.9,1.3
Papa al horno sin cáscara,78,73,1.6,0.1,16.8,1.2,7,4,0.3,4,1.4
Papa cocida,68,59,1.3,0.1,13.7,1.2,7.1,3.5,0.2,2.5,0.6
Papa cocida sin cascara,68,58,1.2,0.1,13.7,1.2,6.1,5.4,0.2,3.4,0.6
Papa de agua,78,71,2.6,0.2,15.5,0.4,0,14.8,1.6,0,ND
Papa de cambray,94,72,1.5,0.1,16.5,0.5,12.3,12.3,2.5,5.7,ND
Papa hervida con piel,68,59,1.3,0.1,13.7,1.2,7.1,3.5,0.2,2.5,0.6
Papa hervida pelada,68,58,1.2,0.1,13.7,1.2,6.1,5.4,0.2,3.4,0.6
Papa picada,105,72,1.8,0.1,16.4,2.5,18.8,9.4,0.5,6.3,1.2
Papa roja cruda,85,60,1.6,0.1,13.5,1.4,15.3,8.5,0.6,5.1,0.9
Papas hojuelas para puré,20,71,1.7,0.1,16.2,1.3,9.2,5.4,0.2,20.8,0.7
Papilla de arroz,17,67,1.4,0.5,14.1,1.1,2.5,9.1,7.9,2,0.2
Papilla de arroz deshidratada,15,59,1.1,0.7,11.6,0.1,3.6,127.5,7.1,4.8,ND
Papilla de avena deshidratada,15,56,1,0.2,12,0.1,0,128.7,7.5,41,ND
Papilla de maíz deshidratada,21,72,1.8,0.2,16.6,1.1,1.5,4.5,6.6,228.8,0.1
Pasta cocida,60,78,3.2,1.1,14,0,11.6,6.3,0.7,49.5,ND
Pasta con huevo,15,57,1.9,0.6,11,0,0,5.2,0.4,0.7,ND
Pasta cruda para sopa,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,0.4,ND
Pasta de codito,20,74,2.5,0.2,15,0.1,5,5.4,0.3,0.4,ND
